contract_type,investment_type,region,url
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2736699814-departamento-en-venta-de-2-dorm-en-maipu-_JM#position=20&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2783305662-departamento-en-3piso-2d1b-ubicado-en-la-recova-10867-l-_JM#position=21&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1523934897-departamento-mas-barato-se-acepta-leasing-_JM#position=22&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1542125375-se-vende-departamento-2d1b-_JM#position=23&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2776661396-departamento-en-venta-de-2-dorm-en-el-bosque-_JM#position=24&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1520116223-estudio-avenida-coronel-souper-ofertar-desde-_JM#position=25&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1552664173-departamento-en-venta-de-2-dorm-en-quilicura-_JM#position=26&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2767878820-poblacion-pedro-lira-primer-piso-60mts2-_JM#position=27&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1552841775-departamento-en-venta-en-puente-alto-_JM#position=28&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1491961499-departamento-en-venta-puente-alto-calle-reloj-de-sol-3976-_JM#position=29&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1510397325-venta-departamento-san-bernardo-_JM#position=30&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1510645303-departamento-basico-primer-piso-en-nocedal-_JM#position=31&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1529940175-se-vende-departamento-en-villa-juanita-puente-alto-_JM#position=32&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1531714905-venta-departamento-puente-alto-lago-banguelo-_JM#position=33&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1534130693-venta-depatamento-villa-san-miguel-puente-alto-_JM#position=34&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1534140085-gran-oferta-posibilidad-de-venta-con-subsidio-_JM#position=35&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1535069181-se-vende-departamento-en-paine-35-millones-_JM#position=36&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1542740837-departamento-en-venta-de-3-dorm-en-puente-alto-_JM#position=37&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1543875757-departamento-2-dormitorios-con-subsidio-53196-_JM#position=38&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1544608281-depto-2d-1b-a-10-minutos-de-metro-hospital-el-pino-sn-bdo-_JM#position=39&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1547122509-depto-remodelado-2d-en-el-bosque-_JM#position=40&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1550451163-depto-3-piso-2d1b-ubicado-en-la-primavera-3486-la-pinta-_JM#position=41&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1551493997-estacion-central-metro-ecuador-departamento-home-estudio-_JM#position=42&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1553717251-departamento-en-pedro-aguirre-cerda-_JM#position=43&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2467371730-se-vende-departamento-comuna-el-monte-_JM#position=44&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2713994476-venta-departamento-cerro-lanalhue-san-bernardo-_JM#position=45&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2716480092-departamento-en-venta-de-2-dorm-en-puente-alto-_JM#position=46&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2730163792-gran-oferta-dpto-en-villa-pucara-de-lasana-quilicura-_JM#position=47&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2737631678-se-vende-depto-2d1bbalcon-poblacion-colon-san-bernardo-_JM#position=48&search_layout=grid&type=item&tracking_id=c637f9f8-9037-40b1-a628-b06ef7fdf3dc
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2757166716-se-vende-departamento-san-bernardo-_JM#position=1&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2765138556-departamento-en-venta-2-dormitorios-1-bano-impecable-_JM#position=2&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2776703730-departamento-en-venta-de-3-dorm-en-puente-alto-_JM#position=3&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2778861250-acogedor-departamento-2d-en-venta-en-san-bernardo-_JM#position=4&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2780606646-departamento-en-venta-de-2-dorm-en-san-bernardo-_JM#position=5&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2785993002-departamento-excelente-valor-general-san-martin-colina-_JM#position=6&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2543265180-venta-departamento-1hab-1ba-puente-alto-_JM#position=7&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1553248253-venta-departamento-nuevo-en-nunoa-2d2b-cesion-de-promesa-_JM#position=8&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2675545536-venta-san-bernardo-dpto-pedro-sancho-de-la-hoz-2-dorm-_JM#position=9&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1494689557-departamento-en-venta-de-3-dorm-en-puente-alto-_JM#position=10&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1523918363-home-studio-6-de-rentabilidad-_JM#position=11&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1533009619-venta-de-departamento-duplex-en-colina-_JM#position=12&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1534652313-acogedor-depto-a-3-cuadras-de-av-padre-hurtado-san-bernardo-_JM#position=13&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1537406857-departamento-san-bernardo-_JM#position=14&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1545459879-poblacion-jose-fuentes-guerra-tercer-piso-_JM#position=15&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1550387745-departamento-en-venta-de-2-dorm-en-san-bernardo-_JM#position=16&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1551415111-oportunidad-departamento-puente-alto-villa-nocedal-3-_JM#position=17&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2716454310-departamento-en-venta-de-2-dorm-en-san-bernardo-_JM#position=18&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2749399720-departamento-basico-la-pintana-_JM#position=19&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2767767868-villa-el-almendro-2-tercer-piso-recien-remodelado-_JM#position=20&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2768123852-venta-departamento-lago-balmaceda-puente-alto-_JM#position=21&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2774627328-se-vende-departamento-2d1b-maipu-_JM#position=22&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2781145304-departamento-pasaje-alberto-valenzuela-puente-alto-_JM#position=23&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2784602830-depto-2d1b-primer-piso-calle-hidra-2608-puente-alto-se-a-_JM#position=24&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2786426310-departamento-en-venta-de-2-dorm-en-la-florida-_JM#position=25&search_layout=grid&type=item&tracking_id=7e4a7182-c127-4512-a2ce-695455eb8bd0
